userId,selectedIndustry1,selectedIndustry2,selectedIndustry3,responseToQuestion1,responseToQuestion2,responseToQuestion3,responseToQuestion4,responseToQuestion5,responseToQuestion6,responseToQuestion7,responseToQuestion8,responseToQuestion9,responseToQuestion10,responseToQuestion11,responseToQuestion12,responseToQuestion13,responseToQuestion14,responseToQuestion15,responseToQuestion16,responseToQuestion17,responseToQuestion18,responseToQuestion19,responseToQuestion20,selectedIndustry4,selectedIndustry5
user_142906,Real Estate and Property,Government and Public Administration,Professional Services,ResponseOption1,ResponseOption1,ResponseOption1,ResponseOption3,ResponseOption3,ResponseOption3,ResponseOption1,ResponseOption2,ResponseOption1,ResponseOption1,ResponseOption2,ResponseOption2,ResponseOption2,ResponseOption2,ResponseOption3,ResponseOption2,ResponseOption3,ResponseOption3,ResponseOption2,ResponseOption1,Oil & Gas,
user_342084,Nonprofit and Philanthropy,Manufacturing and Industrial,,ResponseOption1,ResponseOption2,ResponseOption2,ResponseOption3,ResponseOption3,ResponseOption3,ResponseOption1,ResponseOption2,ResponseOption1,ResponseOption3,ResponseOption3,ResponseOption1,ResponseOption2,ResponseOption1,ResponseOption1,ResponseOption1,ResponseOption1,ResponseOption1,ResponseOption2,ResponseOption2,,
user_931160,Wellness,Hospitality and Tourism,,ResponseOption3,ResponseOption2,ResponseOption3,ResponseOption2,ResponseOption1,ResponseOption1,ResponseOption2,ResponseOption2,ResponseOption2,ResponseOption1,ResponseOption1,ResponseOption1,ResponseOption3,ResponseOption1,ResponseOption3,ResponseOption1,ResponseOption2,ResponseOption1,ResponseOption2,ResponseOption1,,
user_769145,Advertising,Oil & Gas,Insurance,ResponseOption3,ResponseOption2,ResponseOption1,ResponseOption1,ResponseOption2,ResponseOption1,ResponseOption2,ResponseOption2,ResponseOption2,ResponseOption3,ResponseOption1,ResponseOption3,ResponseOption2,ResponseOption1,ResponseOption2,ResponseOption1,ResponseOption2,ResponseOption3,ResponseOption3,ResponseOption2,,
user_793703,Chemicals,,,ResponseOption1,ResponseOption3,ResponseOption2,ResponseOption3,ResponseOption3,ResponseOption1,ResponseOption3,ResponseOption2,ResponseOption2,ResponseOption1,ResponseOption1,ResponseOption2,ResponseOption3,ResponseOption2,ResponseOption3,ResponseOption2,ResponseOption2,ResponseOption1,ResponseOption2,ResponseOption1,,
user_241769,Renewable Energy,,,ResponseOption1,ResponseOption1,ResponseOption1,ResponseOption2,ResponseOption1,ResponseOption3,ResponseOption3,ResponseOption1,ResponseOption3,ResponseOption1,ResponseOption3,ResponseOption2,ResponseOption2,ResponseOption2,ResponseOption1,ResponseOption2,ResponseOption1,ResponseOption1,ResponseOption3,ResponseOption3,,
user_945662,Professional Services,Telecommunications,Real Estate and Property,ResponseOption3,ResponseOption1,ResponseOption3,ResponseOption3,ResponseOption1,ResponseOption2,ResponseOption3,ResponseOption2,ResponseOption2,ResponseOption1,ResponseOption3,ResponseOption3,ResponseOption3,ResponseOption3,ResponseOption1,ResponseOption3,ResponseOption3,ResponseOption2,ResponseOption3,ResponseOption2,,
user_798707,Chemicals,Education and Training,Real Estate and Property,ResponseOption3,ResponseOption2,ResponseOption2,ResponseOption3,ResponseOption2,ResponseOption1,ResponseOption3,ResponseOption3,ResponseOption2,ResponseOption2,ResponseOption3,ResponseOption3,ResponseOption2,ResponseOption2,ResponseOption3,ResponseOption3,ResponseOption3,ResponseOption3,ResponseOption3,ResponseOption2,Mining and Extraction,Entertainment and Media
user_564431,Real Estate and Property,Advertising,Agriculture and Farming,ResponseOption3,ResponseOption3,ResponseOption1,ResponseOption2,ResponseOption1,ResponseOption3,ResponseOption2,ResponseOption2,ResponseOption2,ResponseOption3,ResponseOption2,ResponseOption3,ResponseOption1,ResponseOption3,ResponseOption2,ResponseOption3,ResponseOption3,ResponseOption1,ResponseOption2,ResponseOption3,Food and Beverage,Hospitality and Tourism
user_2006,Waste Management and Environmental Services,Chemicals,Information Technology and Services,ResponseOption3,ResponseOption3,ResponseOption3,ResponseOption2,ResponseOption2,ResponseOption3,ResponseOption1,ResponseOption3,ResponseOption3,ResponseOption3,ResponseOption2,ResponseOption2,ResponseOption3,ResponseOption3,ResponseOption1,ResponseOption1,ResponseOption1,ResponseOption1,ResponseOption3,ResponseOption2,Professional Services,Automotive
user_117557,Renewable Energy,,,ResponseOption1,ResponseOption2,ResponseOption3,ResponseOption2,ResponseOption3,ResponseOption2,ResponseOption1,ResponseOption3,ResponseOption2,ResponseOption3,ResponseOption3,ResponseOption3,ResponseOption2,ResponseOption1,ResponseOption2,ResponseOption3,ResponseOption3,ResponseOption2,ResponseOption1,ResponseOption1,,
user_903423,Advertising,Entertainment and Media,Education and Training,ResponseOption3,ResponseOption3,ResponseOption3,ResponseOption2,ResponseOption2,ResponseOption1,ResponseOption2,ResponseOption2,ResponseOption1,ResponseOption2,ResponseOption3,ResponseOption1,ResponseOption1,ResponseOption1,ResponseOption1,ResponseOption2,ResponseOption3,ResponseOption1,ResponseOption2,ResponseOption2,Energy and Utilities,
user_512226,Chemicals,Aerospace,,ResponseOption3,ResponseOption3,ResponseOption3,ResponseOption1,ResponseOption2,ResponseOption3,ResponseOption1,ResponseOption2,ResponseOption3,ResponseOption1,ResponseOption3,ResponseOption1,ResponseOption1,ResponseOption2,ResponseOption3,ResponseOption2,ResponseOption2,ResponseOption2,ResponseOption2,ResponseOption2,,
user_755296,Wellness,Professional Services,,ResponseOption2,ResponseOption2,ResponseOption1,ResponseOption1,ResponseOption1,ResponseOption3,ResponseOption3,ResponseOption1,ResponseOption2,ResponseOption2,ResponseOption3,ResponseOption2,ResponseOption2,ResponseOption3,ResponseOption1,ResponseOption2,ResponseOption1,ResponseOption3,ResponseOption3,ResponseOption1,,
user_138081,Hospitality and Tourism,Energy and Utilities,Banking and Finance,ResponseOption1,ResponseOption2,ResponseOption3,ResponseOption1,ResponseOption2,ResponseOption3,ResponseOption1,ResponseOption3,ResponseOption1,ResponseOption2,ResponseOption2,ResponseOption3,ResponseOption3,ResponseOption1,ResponseOption2,ResponseOption2,ResponseOption3,ResponseOption3,ResponseOption1,ResponseOption3,Government and Public Administration,
user_690820,Food and Beverage,,,ResponseOption1,ResponseOption1,ResponseOption3,ResponseOption2,ResponseOption2,ResponseOption3,ResponseOption3,ResponseOption3,ResponseOption3,ResponseOption3,ResponseOption3,ResponseOption1,ResponseOption1,ResponseOption2,ResponseOption3,ResponseOption1,ResponseOption3,ResponseOption3,ResponseOption1,ResponseOption2,,
user_711427,Automotive,,,ResponseOption1,ResponseOption3,ResponseOption3,ResponseOption1,ResponseOption3,ResponseOption2,ResponseOption2,ResponseOption3,ResponseOption3,ResponseOption1,ResponseOption1,ResponseOption3,ResponseOption1,ResponseOption3,ResponseOption3,ResponseOption3,ResponseOption1,ResponseOption2,ResponseOption2,ResponseOption1,,
user_81857,Professional Services,Automotive,Insurance,ResponseOption2,ResponseOption1,ResponseOption1,ResponseOption2,ResponseOption2,ResponseOption3,ResponseOption2,ResponseOption3,ResponseOption3,ResponseOption1,ResponseOption1,ResponseOption1,ResponseOption3,ResponseOption1,ResponseOption1,ResponseOption3,ResponseOption1,ResponseOption1,ResponseOption1,ResponseOption2,Transportation and Logistics,
user_103943,Construction and Engineering,Automotive,Wellness,ResponseOption2,ResponseOption1,ResponseOption3,ResponseOption3,ResponseOption3,ResponseOption3,ResponseOption2,ResponseOption1,ResponseOption1,ResponseOption3,ResponseOption2,ResponseOption3,ResponseOption2,ResponseOption3,ResponseOption1,ResponseOption1,ResponseOption3,ResponseOption1,ResponseOption2,ResponseOption2,,
user_193107,Automotive,Nonprofit and Philanthropy,Sports and Recreation,ResponseOption1,ResponseOption2,ResponseOption2,ResponseOption1,ResponseOption3,ResponseOption2,ResponseOption2,ResponseOption2,ResponseOption1,ResponseOption2,ResponseOption2,ResponseOption2,ResponseOption1,ResponseOption3,ResponseOption3,ResponseOption3,ResponseOption2,ResponseOption2,ResponseOption2,ResponseOption1,Chemicals,
user_818964,Advertising,Professional Services,,ResponseOption2,ResponseOption1,ResponseOption1,ResponseOption3,ResponseOption3,ResponseOption3,ResponseOption3,ResponseOption1,ResponseOption2,ResponseOption3,ResponseOption3,ResponseOption3,ResponseOption1,ResponseOption3,ResponseOption2,ResponseOption1,ResponseOption2,ResponseOption2,ResponseOption1,ResponseOption1,,
user_863310,Aerospace,Information Technology and Services,Nonprofit and Philanthropy,ResponseOption1,ResponseOption2,ResponseOption3,ResponseOption1,ResponseOption1,ResponseOption3,ResponseOption3,ResponseOption2,ResponseOption3,ResponseOption3,ResponseOption2,ResponseOption3,ResponseOption1,ResponseOption3,ResponseOption2,ResponseOption3,ResponseOption2,ResponseOption1,ResponseOption1,ResponseOption2,Consumer Goods and Retail,Telecommunications
user_699409,Advertising,Nonprofit and Philanthropy,Animal Health,ResponseOption3,ResponseOption3,ResponseOption3,ResponseOption3,ResponseOption3,ResponseOption2,ResponseOption2,ResponseOption1,ResponseOption3,ResponseOption3,ResponseOption1,ResponseOption3,ResponseOption3,ResponseOption3,ResponseOption2,ResponseOption3,ResponseOption1,ResponseOption2,ResponseOption2,ResponseOption3,,
user_170844,Advertising,Nonprofit and Philanthropy,Travel and Aviation,ResponseOption3,ResponseOption1,ResponseOption3,ResponseOption3,ResponseOption3,ResponseOption1,ResponseOption2,ResponseOption2,ResponseOption2,ResponseOption1,ResponseOption2,ResponseOption3,ResponseOption1,ResponseOption3,ResponseOption3,ResponseOption3,ResponseOption2,ResponseOption3,ResponseOption3,ResponseOption2,Aerospace,
user_384185,Advertising,Real Estate and Property,Insurance,ResponseOption1,ResponseOption3,ResponseOption1,ResponseOption1,ResponseOption3,ResponseOption3,ResponseOption3,ResponseOption1,ResponseOption3,ResponseOption2,ResponseOption3,ResponseOption2,ResponseOption2,ResponseOption3,ResponseOption3,ResponseOption2,ResponseOption3,ResponseOption1,ResponseOption1,ResponseOption3,,
user_616699,Animal Health,Food and Beverage,Gaming and Interactive Entertainment,ResponseOption3,ResponseOption1,ResponseOption3,ResponseOption3,ResponseOption1,ResponseOption1,ResponseOption3,ResponseOption1,ResponseOption1,ResponseOption1,ResponseOption3,ResponseOption3,ResponseOption3,ResponseOption2,ResponseOption3,ResponseOption2,ResponseOption3,ResponseOption3,ResponseOption1,ResponseOption3,Information Technology and Services,
user_128542,Renewable Energy,Food and Beverage,Consumer Goods and Retail,ResponseOption1,ResponseOption2,ResponseOption2,ResponseOption1,ResponseOption3,ResponseOption1,ResponseOption3,ResponseOption2,ResponseOption1,ResponseOption3,ResponseOption2,ResponseOption1,ResponseOption3,ResponseOption1,ResponseOption1,ResponseOption3,ResponseOption1,ResponseOption1,ResponseOption1,ResponseOption1,,
user_930083,Government and Public Administration,Healthcare and Pharmaceuticals,,ResponseOption3,ResponseOption2,ResponseOption3,ResponseOption1,ResponseOption3,ResponseOption1,ResponseOption3,ResponseOption3,ResponseOption3,ResponseOption3,ResponseOption2,ResponseOption3,ResponseOption2,ResponseOption2,ResponseOption2,ResponseOption3,ResponseOption1,ResponseOption3,ResponseOption3,ResponseOption1,,
user_468732,Transportation and Logistics,Aerospace,,ResponseOption1,ResponseOption2,ResponseOption1,ResponseOption2,ResponseOption1,ResponseOption2,ResponseOption1,ResponseOption3,ResponseOption3,ResponseOption2,ResponseOption1,ResponseOption2,ResponseOption1,ResponseOption1,ResponseOption1,ResponseOption2,ResponseOption1,ResponseOption2,ResponseOption2,ResponseOption3,,
user_114870,Construction and Engineering,Food and Beverage,Consumer Goods and Retail,ResponseOption1,ResponseOption3,ResponseOption2,ResponseOption3,ResponseOption2,ResponseOption1,ResponseOption3,ResponseOption2,ResponseOption3,ResponseOption3,ResponseOption2,ResponseOption2,ResponseOption2,ResponseOption3,ResponseOption3,ResponseOption2,ResponseOption3,ResponseOption3,ResponseOption1,ResponseOption2,,
user_114952,Insurance,Construction and Engineering,,ResponseOption3,ResponseOption3,ResponseOption2,ResponseOption3,ResponseOption3,ResponseOption2,ResponseOption2,ResponseOption1,ResponseOption2,ResponseOption2,ResponseOption1,ResponseOption2,ResponseOption2,ResponseOption1,ResponseOption2,ResponseOption2,ResponseOption2,ResponseOption2,ResponseOption2,ResponseOption3,,
user_115443,Waste Management and Environmental Services,Energy and Utilities,Catering,ResponseOption2,ResponseOption2,ResponseOption2,ResponseOption1,ResponseOption1,ResponseOption1,ResponseOption3,ResponseOption2,ResponseOption1,ResponseOption3,ResponseOption2,ResponseOption1,ResponseOption2,ResponseOption1,ResponseOption3,ResponseOption3,ResponseOption1,ResponseOption1,ResponseOption1,ResponseOption3,Chemicals,
user_759923,Transportation and Logistics,,,ResponseOption1,ResponseOption1,ResponseOption2,ResponseOption1,ResponseOption3,ResponseOption3,ResponseOption3,ResponseOption2,ResponseOption1,ResponseOption2,ResponseOption1,ResponseOption3,ResponseOption1,ResponseOption2,ResponseOption2,ResponseOption3,ResponseOption3,ResponseOption1,ResponseOption2,ResponseOption1,,
user_741989,Catering,Telecommunications,Oil & Gas,ResponseOption2,ResponseOption1,ResponseOption3,ResponseOption3,ResponseOption3,ResponseOption2,ResponseOption2,ResponseOption2,ResponseOption3,ResponseOption3,ResponseOption1,ResponseOption3,ResponseOption3,ResponseOption2,ResponseOption1,ResponseOption2,ResponseOption3,ResponseOption2,ResponseOption1,ResponseOption3,Automotive,Mining and Extraction
user_662511,Consumer Goods and Retail,Catering,,ResponseOption2,ResponseOption3,ResponseOption2,ResponseOption3,ResponseOption3,ResponseOption3,ResponseOption2,ResponseOption2,ResponseOption3,ResponseOption1,ResponseOption1,ResponseOption2,ResponseOption1,ResponseOption3,ResponseOption3,ResponseOption2,ResponseOption3,ResponseOption3,ResponseOption1,ResponseOption2,,
user_661865,Construction and Engineering,Waste Management and Environmental Services,Professional Services,ResponseOption1,ResponseOption2,ResponseOption2,ResponseOption3,ResponseOption3,ResponseOption2,ResponseOption1,ResponseOption3,ResponseOption3,ResponseOption1,ResponseOption2,ResponseOption2,ResponseOption3,ResponseOption2,ResponseOption1,ResponseOption3,ResponseOption2,ResponseOption3,ResponseOption1,ResponseOption2,Banking and Finance,
user_574968,Education and Training,Telecommunications,Consumer Goods and Retail,ResponseOption1,ResponseOption2,ResponseOption3,ResponseOption1,ResponseOption1,ResponseOption2,ResponseOption2,ResponseOption2,ResponseOption1,ResponseOption2,ResponseOption1,ResponseOption2,ResponseOption3,ResponseOption3,ResponseOption2,ResponseOption3,ResponseOption3,ResponseOption1,ResponseOption3,ResponseOption2,,
user_591523,Telecommunications,Aerospace,,ResponseOption2,ResponseOption1,ResponseOption1,ResponseOption3,ResponseOption1,ResponseOption2,ResponseOption1,ResponseOption1,ResponseOption3,ResponseOption2,ResponseOption2,ResponseOption1,ResponseOption1,ResponseOption3,ResponseOption3,ResponseOption3,ResponseOption3,ResponseOption1,ResponseOption3,ResponseOption1,,
user_550897,Nonprofit and Philanthropy,Food and Beverage,Chemicals,ResponseOption2,ResponseOption2,ResponseOption2,ResponseOption1,ResponseOption2,ResponseOption1,ResponseOption3,ResponseOption1,ResponseOption3,ResponseOption3,ResponseOption3,ResponseOption1,ResponseOption3,ResponseOption2,ResponseOption1,ResponseOption3,ResponseOption3,ResponseOption2,ResponseOption3,ResponseOption1,Government and Public Administration,
user_319873,Food and Beverage,Consumer Goods and Retail,Advertising,ResponseOption3,ResponseOption3,ResponseOption2,ResponseOption1,ResponseOption1,ResponseOption1,ResponseOption1,ResponseOption1,ResponseOption1,ResponseOption1,ResponseOption1,ResponseOption1,ResponseOption1,ResponseOption3,ResponseOption1,ResponseOption2,ResponseOption1,ResponseOption1,ResponseOption3,ResponseOption3,,
user_658976,Mining and Extraction,Transportation and Logistics,Insurance,ResponseOption3,ResponseOption2,ResponseOption3,ResponseOption1,ResponseOption2,ResponseOption3,ResponseOption2,ResponseOption1,ResponseOption1,ResponseOption1,ResponseOption3,ResponseOption2,ResponseOption1,ResponseOption3,ResponseOption1,ResponseOption1,ResponseOption2,ResponseOption2,ResponseOption1,ResponseOption1,,
user_71748,Telecommunications,Chemicals,Mining and Extraction,ResponseOption3,ResponseOption1,ResponseOption2,ResponseOption1,ResponseOption1,ResponseOption3,ResponseOption2,ResponseOption2,ResponseOption3,ResponseOption1,ResponseOption1,ResponseOption2,ResponseOption2,ResponseOption2,ResponseOption3,ResponseOption3,ResponseOption1,ResponseOption1,ResponseOption2,ResponseOption1,,
user_317785,Chemicals,Catering,Renewable Energy,ResponseOption3,ResponseOption1,ResponseOption2,ResponseOption2,ResponseOption3,ResponseOption1,ResponseOption3,ResponseOption2,ResponseOption2,ResponseOption1,ResponseOption1,ResponseOption3,ResponseOption1,ResponseOption2,ResponseOption3,ResponseOption1,ResponseOption1,ResponseOption2,ResponseOption1,ResponseOption1,Gaming and Interactive Entertainment,Manufacturing and Industrial
user_420411,Advertising,,,ResponseOption2,ResponseOption3,ResponseOption1,ResponseOption1,ResponseOption3,ResponseOption3,ResponseOption2,ResponseOption3,ResponseOption2,ResponseOption1,ResponseOption1,ResponseOption2,ResponseOption2,ResponseOption1,ResponseOption2,ResponseOption1,ResponseOption1,ResponseOption1,ResponseOption2,ResponseOption3,,
user_113014,Food and Beverage,Nonprofit and Philanthropy,Energy and Utilities,ResponseOption2,ResponseOption1,ResponseOption3,ResponseOption3,ResponseOption3,ResponseOption2,ResponseOption3,ResponseOption1,ResponseOption2,ResponseOption1,ResponseOption3,ResponseOption3,ResponseOption3,ResponseOption1,ResponseOption2,ResponseOption2,ResponseOption3,ResponseOption1,ResponseOption1,ResponseOption2,Animal Health,Telecommunications
